Participant name	Average gaze event duration	Number of fixations	Recording duration [ms]	Recording duration [sec]	Number of 30 sec during recording	Number of fixations per 30 sec	Number of 20 sec during recording	Number of fixations per 20 sec	Number of 10 sec during recording	Number of fixations per 10 sec	Number of 5 sec during recording	Number of fixations per 5 sec
OliviA25	229.537368	2462	891366	891.366	29.7122	167.0694193	44.5683	55.24105698	89.1366	27.62052849	178.2732	13.81026425
olivia27	296.7367896	2006	951575	951.575	31.71916667	110.6901716	47.57875	42.16167932	95.1575	21.08083966	190.315	10.54041983
olivia43	282.6809553	1633	907010	907.01	30.23366667	84.14460701	45.3505	36.00842328	90.701	18.00421164	181.402	9.00210582
oskar12	225.0526316	399	170212	170.212	5.673733333	209.7384438	8.5106	46.88271097	17.0212	23.44135549	34.0424	11.72067774
Participant006	296.786645	2456	1155266	1155.266	38.50886667	96.52322495	57.7633	42.51834642	115.5266	21.25917321	231.0532	10.62958661
Participant010	244.9061562	1332	586715.2069	586.7152069	19.55717356	556.0619465	29.33576035	45.40533412	58.67152069	22.70266706	117.3430414	11.35133353
Participant012	233.3137255	765	317558	317.558	10.58526667	223.6126944	15.8779	48.18017496	31.7558	24.09008748	63.5116	12.04504374
Participant014	295.0767414	847	336709	336.709	11.22363333	103.887927	16.83545	50.31050551	33.6709	25.15525276	67.3418	12.57762638
PAUL 25	259.9704142	338	177844	177.844	5.928133333	125.1658757	8.8922	38.01084096	17.7844	19.00542048	35.5688	9.50271024
Paul 32	260.1483949	1651	620847	620.847	20.6949	126.0213869	31.04235	53.18540639	62.0847	26.59270319	124.1694	13.2963516
paul 42	271.5932203	1711	632529	632.529	21.0843	145.4162576	31.62645	54.10028631	63.2529	27.05014316	126.5058	13.52507158
Paul63	224.9283843	3435	1347649	1347.649	44.92163333	180.2694915	67.38245	50.97766555	134.7649	25.48883277	269.5298	12.74441639
PAULA 14	184.3945409	403	213889	213.889	7.129633333	322.8777543	10.69445	37.68309731	21.3889	18.84154865	42.7778	9.420774327
paula23	219.4954499	989	597172	597.172	19.90573333	102.3323264	29.8586	33.1227854	59.7172	16.5613927	119.4344	8.280696349
Peter 54	164.1137255	255	300122	300.122	10.00406667	132.845976	15.0061	16.99308948	30.0122	8.496544738	60.0244	4.248272369
PILLE 52	277.6177778	450	199499	199.499	6.649966667	167.9707668	9.97495	45.11300809	19.9499	22.55650404	39.8998	11.27825202
pille 56	281.4873164	1498	601122	601.122	20.0374	134.7979279	30.0561	49.84013229	60.1122	24.92006614	120.2244	12.46003307
pille 60	229.9225207	968	389154	389.154	12.9718	154.4889684	19.4577	49.74894258	38.9154	24.87447129	77.8308	12.43723564
pille-riin 28	218.7311828	1674	751518	751.518	25.0506	182.590437	37.5759	44.54983114	75.1518	22.27491557	150.3036	11.13745779
POLINA 50	196.4827916	1046	340891	340.891	11.36303333	171.257088	17.04455	61.36858996	34.0891	30.68429498	68.1782	15.34214749
priit22	282.6358839	379	223376	223.376	7.445866667	151.8963541	11.1688	33.93381563	22.3376	16.96690781	44.6752	8.483453907
proov	354.7632135	5676	1344504.674	1344.504674	44.81682247	334.7180629	67.2252337	84.43258115	134.4504674	42.21629058	268.9009348	21.10814529
rain 30	307.6309392	905	580181	580.181	19.33936667	110.0346271	29.00905	31.19716089	58.0181	15.59858044	116.0362	7.799290221
rain54	246.2827789	1022	489917	489.917	16.33056667	99.75159058	24.49585	41.7213528	48.9917	20.8606764	97.9834	10.4303382
raina	369.7800687	291	223416	223.416	7.4472	50.4887743	11.1708	26.05005908	22.3416	13.02502954	44.6832	6.512514771
Raul 19	289.1023551	1104	450228	450.228	15.0076	139.3960393	22.5114	49.04181881	45.0228	24.52090941	90.0456	12.2604547
RAUL 23	274.6607431	619	235913	235.913	7.863766667	137.4659302	11.79565	52.47697244	23.5913	26.23848622	47.1826	13.11924311
